GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,total,0to5,5to9,10to14,15-19,20-24,25-29,30-34,35-39,40-44,45-59,60-89,90-
36001,Albany County,1,Total population,143937,3723,15393,24393,31313,26818,11087,15741,2903,3064,5282,2432,1788
36003,Allegany County,1,Total population,17530,1497,3130,2544,2166,2010,1144,1977,491,557,902,678,434
36005,Bronx County,1,Total population,544865,5459,15058,26350,34588,41035,18885,76018,14597,33253,88692,136941,53989
36007,Broome County,1,Total population,78913,3215,10832,17598,17773,12267,3981,5395,937,1522,2026,1820,1547
36009,Cattaraugus County,1,Total population,30367,2432,5641,4997,3788,3294,1546,2461,754,782,2258,1800,614
36011,Cayuga County,1,Total population,32126,1820,5220,4972,4616,3608,1716,3492,1190,1389,2627,931,545
36013,Chautauqua County,1,Total population,51254,3844,10415,10441,8334,5189,2370,4060,1036,1041,2508,1291,725
36015,Chemung County,1,Total population,34277,1783,6011,6914,6984,4814,1759,2420,325,528,1334,736,669
36017,Chenango County,1,Total population,19678,1538,3205,2743,2555,2393,1302,1993,543,577,1352,985,492
36019,Clinton County,1,Total population,33407,1954,5740,6771,5992,3986,2111,2611,730,707,1055,1254,496
36021,Columbia County,1,Total population,25328,1820,3521,3256,2801,3204,1511,2592,1102,949,2472,1314,786
36023,Cortland County,1,Total population,21179,1358,3904,3619,2619,2318,844,2059,708,1097,1860,525,268
36025,Delaware County,1,Total population,17418,1640,2558,2469,2183,1668,1280,1835,432,517,1318,670,848
36027,Dutchess County,1,Total population,130297,4608,12198,15781,18184,15174,7529,14417,3971,5399,11924,12154,8958
36029,Erie County,1,Total population,420232,13268,46595,65915,79892,77665,34868,52117,10180,10845,15458,8296,5133
36031,Essex County,1,Total population,15229,1248,3189,2733,1584,1240,667,1467,460,588,779,792,482
36033,Franklin County,1,Total population,17001,1738,3126,2677,2416,2252,850,1471,232,303,898,719,319
36035,Fulton County,1,Total population,22898,1374,3010,3673,3215,3056,1217,1897,638,813,1909,1601,495
36037,Genesee County,1,Total population,27034,1669,3846,3765,4097,3469,1497,2354,1477,1169,2214,1153,324
36039,Greene County,1,Total population,19234,846,2371,2339,2284,1825,918,2055,1133,1049,2572,1266,576
36043,Herkimer County,1,Total population,25460,1946,3270,3322,3174,3277,2192,3119,1132,928,1557,939,604
