"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004M","B08303_004MA","B08303_004EA","B08303_005E","B08303_005M","B08303_005MA","B08303_005EA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008M","B08303_008MA","B08303_008EA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011M","B08303_011MA","B08303_011EA","B08303_012E","B08303_012M","B08303_012MA","B08303_012EA","B08303_013E","B08303_013M","B08303_013MA","B08303_013EA",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes",
"0500000US51001","Accomack County, Virginia","001","Total population","13248","649","null","null","221","88","null","null","1643","418","null","null","2334","412","null","null","2525","475","null","null","2406","null","401","null","563","172","null","null","1672","298","null","null","318","150","null","null","523","199","null","null","482","171","null","null","318","136","null","null","243","104","null","null",
"0500000US51003","Albemarle County, Virginia","001","Total population","45643","1374","null","null","1126","252","null","null","4154","542","null","null","7402","664","null","null","9695","680","null","null","8177","null","717","null","3678","447","null","null","5652","552","null","null","1129","270","null","null","997","181","null","null","1949","401","null","null","917","232","null","null","767","227","null","null",
"0500000US51005","Alleghany County, Virginia","001","Total population","6120","321","null","null","126","79","null","null","758","232","null","null","933","186","null","null","1169","241","null","null","1290","null","243","null","261","114","null","null","428","136","null","null","123","62","null","null","90","64","null","null","394","137","null","null","360","105","null","null","188","89","null","null",
"0500000US51007","Amelia County, Virginia","001","Total population","5783","432","null","null","131","77","null","null","183","120","null","null","491","204","null","null","447","240","null","null","197","null","98","null","212","131","null","null","883","362","null","null","395","170","null","null","205","102","null","null","1614","358","null","null","890","270","null","null","135","99","null","null",
"0500000US51009","Amherst County, Virginia","001","Total population","13753","472","null","null","367","127","null","null","1023","217","null","null","1515","226","null","null","2282","292","null","null","2688","null","356","null","1195","230","null","null","1707","301","null","null","539","179","null","null","285","133","null","null","669","194","null","null","988","211","null","null","495","180","null","null",
"0500000US51011","Appomattox County, Virginia","001","Total population","6947","373","null","null","391","178","null","null","490","139","null","null","790","181","null","null","826","235","null","null","684","null","237","null","615","160","null","null","1287","250","null","null","510","162","null","null","451","173","null","null","718","236","null","null","145","78","null","null","40","39","null","null",
"0500000US51013","Arlington County, Virginia","001","Total population","116672","1977","null","null","1294","275","null","null","5710","613","null","null","10341","836","null","null","15792","993","null","null","16326","null","941","null","10675","836","null","null","22124","1253","null","null","6404","522","null","null","7734","749","null","null","13093","830","null","null","6003","775","null","null","1176","260","null","null",
"0500000US51015","Augusta County, Virginia","001","Total population","34300","1099","null","null","921","260","null","null","3266","547","null","null","3889","564","null","null","4542","524","null","null","6603","null","652","null","3235","503","null","null","5205","646","null","null","1508","381","null","null","1391","292","null","null","2230","346","null","null","745","297","null","null","765","213","null","null",
"0500000US51019","Bedford County, Virginia","001","Total population","33940","791","null","null","492","171","null","null","2751","450","null","null","3480","461","null","null","5081","648","null","null","5220","null","593","null","3285","467","null","null","5558","548","null","null","1222","247","null","null","1637","279","null","null","3392","442","null","null","1390","268","null","null","432","143","null","null",
