GEO_ID,NAME,Total_Comm,0-15Comm,Lessthan15_Percent,45-59Comm,60-89Comm,90-Comm
51001,Accomack County,13248,4198,32,482,318,243
51003,Albemarle County,45643,12682,28,1949,917,767
51005,Alleghany County,6120,1817,30,394,360,188
51007,Amelia County,5783,805,14,1614,890,135
51009,Amherst County,13753,2905,21,669,988,495
51011,Appomattox County,6947,1671,24,718,145,40
51013,Arlington County,116672,17345,15,13093,6003,1176
51015,Augusta County,34300,8076,24,2230,745,765
51017,Bath County,1750,741,42,3392,1390,432
51019,Bedford County,33940,6723,20,856,497,290
51021,Bland County,2204,902,41,841,392,239
51023,Botetourt County,14632,2682,18,783,420,155
51025,Brunswick County,5893,1171,20,1158,742,483
51027,Buchanan County,5990,1457,24,1442,654,367
51029,Buckingham County,5886,831,14,2098,1234,955
51031,Campbell County,24332,5775,24,1137,764,247
51033,Caroline County,14486,3401,23,518,477,132
51035,Carroll County,11790,3282,28,9926,3851,2902
51036,Charles City County,3042,327,11,940,905,306
51037,Charlotte County,4291,1208,28,2441,3390,2485
51041,Chesterfield County,160905,26670,17,396,992,404
51043,Clarke County,6381,1116,17,524,290,111
51045,Craig County,1855,203,11,1375,894,363
51047,Culpeper County,23820,6416,27,426,813,257
51049,Cumberland County,4586,1091,24,63691,46818,13075
51051,Dickenson County,4161,1254,30,4495,5916,2556
51053,Dinwiddie County,12253,2152,18,1201,1033,140
51057,Essex County,4058,1007,25,1715,771,375
51059,Fairfax County,503905,74478,15,2898,1573,486
51061,Fauquier County,32012,5780,18,2598,4579,3344
51063,Floyd County,6822,1497,22,1024,199,211
51065,Fluvanna County,11398,1479,13,3165,2493,549
51067,Franklin County,21065,3996,19,1380,383,237
51069,Frederick County,39981,7338,18,469,195,141
51071,Giles County,7411,2071,28,1127,351,359
51073,Gloucester County,17512,3309,19,363,161,42
51075,Goochland County,9552,1482,16,1007,779,231
51077,Grayson County,5787,1607,28,3222,1444,1431
51079,Greene County,9141,1366,15,5125,2735,3010
51081,Greensville County,3418,1239,36,831,914,338
51083,Halifax County,12678,3927,31,2476,1277,284
51085,Hanover County,49831,9473,19,2500,1951,683
51087,Henrico County,146361,37298,25,1296,1061,1299
51089,Henry County,18898,4375,23,2119,971,261
51091,Highland County,689,280,41,162,152,382
51093,Isle of Wight County,17009,3067,18,827,432,219
51095,James City County,30698,8584,28,23149,21199,7938
51097,King and Queen County,3106,541,17,2903,1288,598
51099,King George County,12391,3028,24,692,368,215
51101,King William County,8303,1111,13,630,305,250
51103,Lancaster County,3460,1415,41,175,746,194
51105,Lee County,6389,1621,25,829,506,483
51107,Loudoun County,178445,33847,19,456,565,47
