"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B08303_001E","Estimate!!Total:"
"B08303_001M","Margin of Error!!Total:"
"B08303_001MA","Annotation of Margin of Error!!Total:"
"B08303_001EA","Annotation of Estimate!!Total:"
"B08303_002E","Estimate!!Total:!!Less than 5 minutes"
"B08303_002M","Margin of Error!!Total:!!Less than 5 minutes"
"B08303_002MA","Annotation of Margin of Error!!Total:!!Less than 5 minutes"
"B08303_002EA","Annotation of Estimate!!Total:!!Less than 5 minutes"
"B08303_003E","Estimate!!Total:!!5 to 9 minutes"
"B08303_003EA","Annotation of Estimate!!Total:!!5 to 9 minutes"
"B08303_003M","Margin of Error!!Total:!!5 to 9 minutes"
"B08303_003MA","Annotation of Margin of Error!!Total:!!5 to 9 minutes"
"B08303_004E","Estimate!!Total:!!10 to 14 minutes"
"B08303_004EA","Annotation of Estimate!!Total:!!10 to 14 minutes"
"B08303_004M","Margin of Error!!Total:!!10 to 14 minutes"
"B08303_004MA","Annotation of Margin of Error!!Total:!!10 to 14 minutes"
"B08303_005E","Estimate!!Total:!!15 to 19 minutes"
"B08303_005EA","Annotation of Estimate!!Total:!!15 to 19 minutes"
"B08303_005M","Margin of Error!!Total:!!15 to 19 minutes"
"B08303_005MA","Annotation of Margin of Error!!Total:!!15 to 19 minutes"
"B08303_006E","Estimate!!Total:!!20 to 24 minutes"
"B08303_006EA","Annotation of Estimate!!Total:!!20 to 24 minutes"
"B08303_006M","Margin of Error!!Total:!!20 to 24 minutes"
"B08303_006MA","Annotation of Margin of Error!!Total:!!20 to 24 minutes"
"B08303_007E","Estimate!!Total:!!25 to 29 minutes"
"B08303_007EA","Annotation of Estimate!!Total:!!25 to 29 minutes"
"B08303_007M","Margin of Error!!Total:!!25 to 29 minutes"
"B08303_007MA","Annotation of Margin of Error!!Total:!!25 to 29 minutes"
"B08303_008E","Estimate!!Total:!!30 to 34 minutes"
"B08303_008M","Margin of Error!!Total:!!30 to 34 minutes"
"B08303_008MA","Annotation of Margin of Error!!Total:!!30 to 34 minutes"
"B08303_008EA","Annotation of Estimate!!Total:!!30 to 34 minutes"
"B08303_009E","Estimate!!Total:!!35 to 39 minutes"
"B08303_009M","Margin of Error!!Total:!!35 to 39 minutes"
"B08303_009MA","Annotation of Margin of Error!!Total:!!35 to 39 minutes"
"B08303_009EA","Annotation of Estimate!!Total:!!35 to 39 minutes"
"B08303_010E","Estimate!!Total:!!40 to 44 minutes"
"B08303_010EA","Annotation of Estimate!!Total:!!40 to 44 minutes"
"B08303_010M","Margin of Error!!Total:!!40 to 44 minutes"
"B08303_010MA","Annotation of Margin of Error!!Total:!!40 to 44 minutes"
"B08303_011E","Estimate!!Total:!!45 to 59 minutes"
"B08303_011EA","Annotation of Estimate!!Total:!!45 to 59 minutes"
"B08303_011M","Margin of Error!!Total:!!45 to 59 minutes"
"B08303_011MA","Annotation of Margin of Error!!Total:!!45 to 59 minutes"
"B08303_012E","Estimate!!Total:!!60 to 89 minutes"
"B08303_012EA","Annotation of Estimate!!Total:!!60 to 89 minutes"
"B08303_012M","Margin of Error!!Total:!!60 to 89 minutes"
"B08303_012MA","Annotation of Margin of Error!!Total:!!60 to 89 minutes"
"B08303_013E","Estimate!!Total:!!90 or more minutes"
"B08303_013EA","Annotation of Estimate!!Total:!!90 or more minutes"
"B08303_013M","Margin of Error!!Total:!!90 or more minutes"
"B08303_013MA","Annotation of Margin of Error!!Total:!!90 or more minutes"
