GEO_ID,NAME,B08303_001E,B08303_002E,B08303_003E
37001,Alamance County,73247,18728,26
37003,Alexander County,15219,4530,30
37005,Alleghany County,3925,1231,31
37007,Anson County,8741,2659,30
37009,Ashe County,11105,3299,30
37011,Avery County,6002,2269,38
37013,Beaufort County,17338,7536,43
37015,Bertie County,6365,2069,33
37017,Bladen County,10419,2835,27
37019,Brunswick County,47443,11957,25
37021,Buncombe County,112592,29509,26
37023,Burke County,36660,10100,28
37025,Cabarrus County,96284,17722,18
37027,Caldwell County,33233,8797,26
37029,Camden County,4519,630,14
37031,Carteret County,28248,9340,33
37033,Caswell County,8847,1371,15
37035,Catawba County,69390,22314,32
37037,Chatham County,28758,5794,20
37039,Cherokee County,9979,2950,30
37041,Chowan County,5057,1792,35
37043,Clay County,4316,1718,40
37045,Cleveland County,39940,12609,32
37047,Columbus County,18001,4169,23
37049,Craven County,42788,16508,39
37051,Cumberland County,145500,45484,31
37053,Currituck County,12958,2400,19
37055,Dare County,16620,7102,43
37057,Davidson County,68866,17328,25
37059,Davie County,17735,4147,23
37061,Duplin County,20307,6179,30
37063,Durham County,138981,35034,25
37065,Edgecombe County,18989,6626,35
37067,Forsyth County,159739,45322,28
37069,Franklin County,28190,4672,17
37071,Gaston County,98522,22516,23
37073,Gates County,4231,546,13
37075,Graham County,3030,1346,44
37077,Granville County,24721,4239,17
37079,Greene County,7753,2008,26
37081,Guilford County,233890,66273,28
37083,Halifax County,16726,7129,43
37085,Harnett County,54299,9944,18
37087,Haywood County,25332,8153,32
37089,Henderson County,49006,14632,30
37091,Hertford County,7997,2754,34
37093,Hoke County,20145,2949,15
37095,Hyde County,1501,800,53
37097,Iredell County,79500,23884,30
37099,Jackson County,17086,6957,41
37101,Johnston County,91489,15881,17
37103,Jones County,3652,615,17
37105,Lee County,26955,8032,30
37107,Lenoir County,21496,7662,36
37109,Lincoln County,37199,8225,22
37111,McDowell County,17752,4780,27
37113,Macon County,14241,5660,40
37115,Madison County,8176,1618,20
37117,Martin County,8616,2714,31
37119,Mecklenburg County,478928,100085,21
37121,Mitchell County,5973,2190,37
37123,Montgomery County,10059,2751,27
37125,Moore County,39287,11636,30
37127,Nash County,38953,11842,30
37129,New Hanover County,97416,32737,34
37131,Northampton County,6130,1592,26
37133,Onslow County,96593,33079,34
37135,Orange County,57343,14055,25
37137,Pamlico County,4068,1236,30
37139,Pasquotank County,17295,6322,37
37141,Pender County,24642,4239,17
37143,Perquimans County,5011,1090,22
37145,Person County,16674,3812,23
37147,Pitt County,72988,26782,37
37149,Polk County,7475,2121,28
37151,Randolph County,60835,16224,27
37153,Richmond County,17195,5327,31
37155,Robeson County,41827,11958,29
37157,Rockingham County,37435,11348,30
37159,Rowan County,60562,16101,27
37161,Rutherford County,24426,7134,29
37163,Sampson County,23567,6871,29
37165,Scotland County,11673,3768,32
37167,Stanly County,26037,8619,33
37169,Stokes County,18752,4289,23
37171,Surry County,30212,10242,34
37173,Swain County,5114,2074,41
37175,Transylvania County,12492,4467,36
37177,Tyrrell County,1169,484,41
37179,Union County,99952,20264,20
37181,Vance County,16602,5706,34
37183,Wake County,470657,98214,21
37185,Warren County,6673,1618,24
37187,Washington County,3864,1339,35
37189,Watauga County,22899,8640,38
37191,Wayne County,51205,18838,37
37193,Wilkes County,25997,7468,29
37195,Wilson County,32503,12560,39
37197,Yadkin County,15953,4250,27
37199,Yancey County,6995,2272,32
