"GEO_ID","NAME","B15002_001E","B15002_001M","B15002_001MA","B15002_001EA","B15002_002E","B15002_002EA","B15002_002M","B15002_002MA","B15002_003E","B15002_003EA","B15002_003M","B15002_003MA","B15002_004E","B15002_004M","B15002_004MA","B15002_004EA","B15002_005E","B15002_005EA","B15002_005M","B15002_005MA","B15002_006E","B15002_006M","B15002_006MA","B15002_006EA","B15002_007E","B15002_007EA","B15002_007M","B15002_007MA","B15002_008E","B15002_008M","B15002_008MA","B15002_008EA","B15002_009E","B15002_009EA","B15002_009M","B15002_009MA","B15002_010E","B15002_010M","B15002_010MA","B15002_010EA","B15002_011E","B15002_011M","B15002_011MA","B15002_011EA","B15002_012E","B15002_012EA","B15002_012M","B15002_012MA","B15002_013E","B15002_013M","B15002_013MA","B15002_013EA","B15002_014E","B15002_014M","B15002_014MA","B15002_014EA","B15002_015E","B15002_015EA","B15002_015M","B15002_015MA","B15002_016E","B15002_016M","B15002_016MA","B15002_016EA","B15002_017E","B15002_017EA","B15002_017M","B15002_017MA","B15002_018E","B15002_018EA","B15002_018M","B15002_018MA","B15002_019E","B15002_019EA","B15002_019M","B15002_019MA","B15002_020E","B15002_020M","B15002_020MA","B15002_020EA","B15002_021E","B15002_021M","B15002_021MA","B15002_021EA","B15002_022E","B15002_022M","B15002_022MA","B15002_022EA","B15002_023E","B15002_023EA","B15002_023M","B15002_023MA","B15002_024E","B15002_024M","B15002_024MA","B15002_024EA","B15002_025E","B15002_025EA","B15002_025M","B15002_025MA","B15002_026E","B15002_026M","B15002_026MA","B15002_026EA","B15002_027E","B15002_027M","B15002_027MA","B15002_027EA","B15002_028E","B15002_028EA","B15002_028M","B15002_028MA","B15002_029E","B15002_029EA","B15002_029M","B15002_029MA","B15002_030E","B15002_030M","B15002_030MA","B15002_030EA","B15002_031E","B15002_031EA","B15002_031M","B15002_031MA","B15002_032E","B15002_032M","B15002_032MA","B15002_032EA","B15002_033E","B15002_033EA","B15002_033M","B15002_033MA","B15002_034E","B15002_034EA","B15002_034M","B15002_034MA","B15002_035E","B15002_035M","B15002_035MA","B15002_035EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Male:","Annotation of Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Annotation of Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!No schooling completed","Annotation of Estimate!!Total:!!Male:!!No schooling completed","Margin of Error!!Total:!!Male:!!No schooling completed","Annotation of Margin of Error!!Total:!!Male:!!No schooling completed","Estimate!!Total:!!Male:!!Nursery to 4th grade","Margin of Error!!Total:!!Male:!!Nursery to 4th grade","Annotation of Margin of Error!!Total:!!Male:!!Nursery to 4th grade","Annotation of Estimate!!Total:!!Male:!!Nursery to 4th grade","Estimate!!Total:!!Male:!!5th and 6th grade","Annotation of Estimate!!Total:!!Male:!!5th and 6th grade","Margin of Error!!Total:!!Male:!!5th and 6th grade","Annotation of Margin of Error!!Total:!!Male:!!5th and 6th grade","Estimate!!Total:!!Male:!!7th and 8th grade","Margin of Error!!Total:!!Male:!!7th and 8th grade","Annotation of Margin of Error!!Total:!!Male:!!7th and 8th grade","Annotation of Estimate!!Total:!!Male:!!7th and 8th grade","Estimate!!Total:!!Male:!!9th grade","Annotation of Estimate!!Total:!!Male:!!9th grade","Margin of Error!!Total:!!Male:!!9th grade","Annotation of Margin of Error!!Total:!!Male:!!9th grade","Estimate!!Total:!!Male:!!10th grade","Margin of Error!!Total:!!Male:!!10th grade","Annotation of Margin of Error!!Total:!!Male:!!10th grade","Annotation of Estimate!!Total:!!Male:!!10th grade","Estimate!!Total:!!Male:!!11th grade","Annotation of Estimate!!Total:!!Male:!!11th grade","Margin of Error!!Total:!!Male:!!11th grade","Annotation of Margin of Error!!Total:!!Male:!!11th grade","Estimate!!Total:!!Male:!!12th grade, no diploma","Margin of Error!!Total:!!Male:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!Male:!!12th grade, no diploma","Annotation of Estimate!!Total:!!Male:!!12th grade, no diploma","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Annotation of Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Annotation of Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Male:!!Some college, less than 1 year","Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Male:!!Some college, less than 1 year","Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Male:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Male:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Male:!!Associate's degree","Margin of Error!!Total:!!Male:!!Associate's degree","Annotation of Margin of Error!!Total:!!Male:!!Associate's degree","Annotation of Estimate!!Total:!!Male:!!Associate's degree","Estimate!!Total:!!Male:!!Bachelor's degree","Annotation of Estimate!!Total:!!Male:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Male:!!Bachelor's degree","Estimate!!Total:!!Male:!!Master's degree","Margin of Error!!Total:!!Male:!!Master's degree","Annotation of Margin of Error!!Total:!!Male:!!Master's degree","Annotation of Estimate!!Total:!!Male:!!Master's degree","Estimate!!Total:!!Male:!!Professional school degree","Annotation of Estimate!!Total:!!Male:!!Professional school degree","Margin of Error!!Total:!!Male:!!Professional school degree","Annotation of Margin of Error!!Total:!!Male:!!Professional school degree","Estimate!!Total:!!Male:!!Doctorate degree","Annotation of Estimate!!Total:!!Male:!!Doctorate degree","Margin of Error!!Total:!!Male:!!Doctorate degree","Annotation of Margin of Error!!Total:!!Male:!!Doctorate degree","Estimate!!Total:!!Female:","Annotation of Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Annotation of Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!No schooling completed","Margin of Error!!Total:!!Female:!!No schooling completed","Annotation of Margin of Error!!Total:!!Female:!!No schooling completed","Annotation of Estimate!!Total:!!Female:!!No schooling completed","Estimate!!Total:!!Female:!!Nursery to 4th grade","Margin of Error!!Total:!!Female:!!Nursery to 4th grade","Annotation of Margin of Error!!Total:!!Female:!!Nursery to 4th grade","Annotation of Estimate!!Total:!!Female:!!Nursery to 4th grade","Estimate!!Total:!!Female:!!5th and 6th grade","Margin of Error!!Total:!!Female:!!5th and 6th grade","Annotation of Margin of Error!!Total:!!Female:!!5th and 6th grade","Annotation of Estimate!!Total:!!Female:!!5th and 6th grade","Estimate!!Total:!!Female:!!7th and 8th grade","Annotation of Estimate!!Total:!!Female:!!7th and 8th grade","Margin of Error!!Total:!!Female:!!7th and 8th grade","Annotation of Margin of Error!!Total:!!Female:!!7th and 8th grade","Estimate!!Total:!!Female:!!9th grade","Margin of Error!!Total:!!Female:!!9th grade","Annotation of Margin of Error!!Total:!!Female:!!9th grade","Annotation of Estimate!!Total:!!Female:!!9th grade","Estimate!!Total:!!Female:!!10th grade","Annotation of Estimate!!Total:!!Female:!!10th grade","Margin of Error!!Total:!!Female:!!10th grade","Annotation of Margin of Error!!Total:!!Female:!!10th grade","Estimate!!Total:!!Female:!!11th grade","Margin of Error!!Total:!!Female:!!11th grade","Annotation of Margin of Error!!Total:!!Female:!!11th grade","Annotation of Estimate!!Total:!!Female:!!11th grade","Estimate!!Total:!!Female:!!12th grade, no diploma","Margin of Error!!Total:!!Female:!!12th grade, no diploma","Annotation of Margin of Error!!Total:!!Female:!!12th grade, no diploma","Annotation of Estimate!!Total:!!Female:!!12th grade, no diploma","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Annotation of Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Annotation of Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!Some college, less than 1 year","Annotation of Estimate!!Total:!!Female:!!Some college, less than 1 year","Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Annotation of Margin of Error!!Total:!!Female:!!Some college, less than 1 year","Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree","Annotation of Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree","Annotation of Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Female:!!Associate's degree","Annotation of Estimate!!Total:!!Female:!!Associate's degree","Margin of Error!!Total:!!Female:!!Associate's degree","Annotation of Margin of Error!!Total:!!Female:!!Associate's degree","Estimate!!Total:!!Female:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!Bachelor's degree","Annotation of Margin of Error!!Total:!!Female:!!Bachelor's degree","Annotation of Estimate!!Total:!!Female:!!Bachelor's degree","Estimate!!Total:!!Female:!!Master's degree","Annotation of Estimate!!Total:!!Female:!!Master's degree","Margin of Error!!Total:!!Female:!!Master's degree","Annotation of Margin of Error!!Total:!!Female:!!Master's degree","Estimate!!Total:!!Female:!!Professional school degree","Annotation of Estimate!!Total:!!Female:!!Professional school degree","Margin of Error!!Total:!!Female:!!Professional school degree","Annotation of Margin of Error!!Total:!!Female:!!Professional school degree","Estimate!!Total:!!Female:!!Doctorate degree","Margin of Error!!Total:!!Female:!!Doctorate degree","Annotation of Margin of Error!!Total:!!Female:!!Doctorate degree","Annotation of Estimate!!Total:!!Female:!!Doctorate degree",
"0500000US37001","Alamance County, North Carolina","113559","125","null","null","52977","null","78","null","894","null","222","null","415","172","null","null","819","null","246","null","879","205","null","null","875","null","231","null","1379","260","null","null","990","null","248","null","1083","275","null","null","16215","928","null","null","3767","null","458","null","7787","647","null","null","4828","541","null","null","9057","null","714","null","2627","324","null","null","680","null","271","null","682","null","153","null","60582","null","86","null","701","201","null","null","599","185","null","null","699","259","null","null","618","null","184","null","986","214","null","null","1152","null","253","null","1173","370","null","null","691","190","null","null","16265","null","910","null","3534","null","375","null","9794","919","null","null","7496","null","580","null","11942","761","null","null","3981","null","463","null","329","null","105","null","622","177","null","null",
"0500000US37003","Alexander County, North Carolina","26182","218","null","null","13250","null","215","null","163","null","79","null","60","53","null","null","121","null","84","null","261","109","null","null","498","null","225","null","496","183","null","null","501","null","189","null","221","91","null","null","5631","481","null","null","624","null","172","null","1542","350","null","null","1337","250","null","null","1363","null","294","null","313","125","null","null","37","null","31","null","82","null","68","null","12932","null","145","null","131","78","null","null","12","16","null","null","98","78","null","null","280","null","119","null","223","110","null","null","359","null","149","null","397","216","null","null","100","57","null","null","4793","null","502","null","909","null","237","null","1815","306","null","null","1709","null","335","null","1438","267","null","null","509","null","141","null","52","null","47","null","107","106","null","null",
"0500000US37005","Alleghany County, North Carolina","8383","84","null","null","4178","null","67","null","38","null","24","null","24","22","null","null","33","null","34","null","170","80","null","null","131","null","64","null","354","149","null","null","122","null","51","null","89","41","null","null","1350","201","null","null","219","null","94","null","499","132","null","null","312","101","null","null","545","null","118","null","232","122","null","null","11","null","12","null","49","null","47","null","4205","null","91","null","80","71","null","null","10","13","null","null","65","59","null","null","88","null","45","null","230","133","null","null","92","null","48","null","161","98","null","null","35","27","null","null","1260","null","201","null","256","null","78","null","643","140","null","null","413","null","114","null","522","119","null","null","294","null","98","null","36","null","38","null","20","25","null","null",
"0500000US37007","Anson County, North Carolina","16003","72","null","null","8109","null","76","null","69","null","49","null","22","33","null","null","120","null","84","null","253","122","null","null","307","null","146","null","319","149","null","null","312","null","123","null","112","75","null","null","3766","326","null","null","518","null","175","null","935","214","null","null","428","140","null","null","789","null","215","null","131","84","null","null","0","null","25","null","28","null","41","null","7894","null","47","null","24","38","null","null","0","25","null","null","58","39","null","null","191","null","106","null","171","92","null","null","415","null","194","null","370","144","null","null","61","63","null","null","2800","null","311","null","571","null","155","null","1236","265","null","null","1064","null","206","null","608","152","null","null","270","null","95","null","15","null","19","null","40","37","null","null",
"0500000US37009","Ashe County, North Carolina","20327","158","null","null","9865","null","130","null","187","null","86","null","61","41","null","null","82","null","57","null","182","85","null","null","384","null","152","null","382","183","null","null","284","null","127","null","116","63","null","null","3219","396","null","null","698","null","235","null","1433","240","null","null","1043","258","null","null","1302","null","272","null","386","132","null","null","31","null","27","null","75","null","50","null","10462","null","147","null","15","16","null","null","0","25","null","null","124","93","null","null","106","null","53","null","187","99","null","null","256","null","133","null","181","100","null","null","91","73","null","null","3123","null","400","null","753","null","206","null","1709","375","null","null","1736","null","265","null","1221","232","null","null","791","null","217","null","73","null","52","null","96","64","null","null",
"0500000US37011","Avery County, North Carolina","13616","115","null","null","7687","null","124","null","147","null","83","null","91","64","null","null","61","null","38","null","247","111","null","null","236","null","101","null","330","152","null","null","196","null","88","null","91","64","null","null","2456","413","null","null","325","null","102","null","1425","251","null","null","489","131","null","null","896","null","206","null","398","104","null","null","185","null","78","null","114","null","63","null","5929","null","73","null","32","34","null","null","29","35","null","null","4","6","null","null","104","null","73","null","55","51","null","null","79","null","46","null","149","66","null","null","40","28","null","null","1567","null","226","null","429","null","132","null","1007","240","null","null","775","null","170","null","1102","188","null","null","472","null","133","null","47","null","40","null","38","37","null","null",
"0500000US37013","Beaufort County, North Carolina","32694","130","null","null","15197","null","130","null","287","null","146","null","206","192","null","null","176","null","138","null","100","57","null","null","345","null","121","null","312","137","null","null","484","null","126","null","232","94","null","null","5122","452","null","null","844","null","193","null","2510","382","null","null","1607","289","null","null","1949","null","297","null","682","190","null","null","197","null","76","null","144","null","76","null","17497","null","167","null","207","115","null","null","54","57","null","null","283","196","null","null","337","null","157","null","320","182","null","null","224","null","121","null","211","77","null","null","248","106","null","null","5331","null","473","null","876","null","197","null","3427","439","null","null","2291","null","335","null","2242","370","null","null","1117","null","194","null","160","null","75","null","169","83","null","null",
"0500000US37015","Bertie County, North Carolina","13540","89","null","null","6776","null","97","null","32","null","30","null","99","83","null","null","15","null","21","null","206","97","null","null","216","null","89","null","225","87","null","null","484","null","187","null","156","82","null","null","2822","294","null","null","348","null","135","null","949","204","null","null","439","147","null","null","424","null","156","null","324","132","null","null","24","null","24","null","13","null","18","null","6764","null","92","null","129","72","null","null","7","15","null","null","2","3","null","null","290","null","137","null","169","116","null","null","143","null","86","null","365","157","null","null","148","79","null","null","2168","null","314","null","432","null","177","null","1160","265","null","null","510","null","170","null","812","208","null","null","390","null","139","null","39","null","39","null","0","21","null","null",
"0500000US37017","Bladen County, North Carolina","21504","176","null","null","10083","null","130","null","68","null","54","null","126","94","null","null","95","null","83","null","201","108","null","null","546","null","207","null","344","191","null","null","282","null","121","null","151","102","null","null","3211","346","null","null","873","null","298","null","1618","292","null","null","1041","351","null","null","1015","null","246","null","206","109","null","null","213","null","118","null","93","null","103","null","11421","null","145","null","150","90","null","null","49","53","null","null","158","96","null","null","133","null","88","null","221","131","null","null","263","null","133","null","247","114","null","null","195","122","null","null","3755","null","423","null","913","null","214","null","1966","309","null","null","1091","null","241","null","1568","329","null","null","621","null","289","null","25","null","24","null","66","51","null","null",
